event_num,interaction_num,index,crystal,edep,x,y,z,slice_sect,time
1645,3,5810,17,17.493,16.055,7.716,-22.378,31,78348624.397
1645,4,5812,17,214.475,16.295,9.69,-23.19,42,78348624.471
1646,0,5813,39,768.665,16.967,-21.641,-17.151,52,5425593.43
1647,0,5814,26,484.106,-10.45,15.383,-20.913,30,7087302.869
1647,1,5818,26,535.945,-14.241,15.147,-22.176,45,7087303.017
1648,0,5819,16,349.475,15.286,4.091,-23.046,34,152337849.88
1649,0,5820,40,44.261,8.239,-13.058,-18.288,0,96512405.756
1649,1,5822,40,639.131,8.983,-15.368,-20.392,20,96512405.864
1649,2,5824,40,307.689,8.666,-16.542,-18.852,21,96512405.943
1650,0,5825,15,373.346,20.14,7.605,-12.964,12,55843252.706
1651,0,5826,8,629.318,-13.313,2.831,-21.841,13,80579324.5
1651,1,5827,8,100.451,-13.016,1.845,-22.132,13,80579324.535
1651,2,5830,8,248.362,-13.096,-0.181,-19.781,2,80579324.662
1652,0,5831,18,244.292,9.007,16.246,-15.619,0,4691305.518
1652,1,5832,18,0.366,9.262,17.33,-15.817,10,4691305.555
1652,2,5835,18,767.595,9.645,18.751,-16.351,20,4691305.627
1653,0,5836,20,178.602,11.195,18.711,-24.068,55,88330881.749
1654,0,5837,36,478.693,3.525,-18.624,-14.934,5,71882580.505
1654,1,5838,36,39.758,4.97,-19.242,-16.08,12,71882580.572
1654,2,5839,36,195.189,5.386,-20.516,-17.261,22,71882580.632
1654,3,5840,36,41.562,5.547,-19.413,-17.976,22,71882580.676
1654,4,5841,36,175.149,5.027,-19.129,-18.189,21,71882580.697
1655,0,5842,39,749.764,11.025,-23.473,-15.949,44,277345110.997
1655,1,5844,36,237.749,6.066,-21.79,-14.165,24,277345111.183
1656,0,5845,43,530.176,17.657,-9.531,-13.88,4,152897778.944
1656,1,5847,43,457.155,17.901,-10.007,-13.562,3,152897778.973
1657,0,5848,42,679.583,22.923,-3.872,-14.596,35,138816728.211
1657,1,5850,42,219.065,20.55,-5.275,-16.574,20,138816728.348
1658,0,5851,31,432.143,-21.76,-5.601,-11.887,12,214453586.88
1659,0,5852,2,576.626,16.375,8.082,-25.223,53,292191208.495
1660,0,5853,16,197.788,14.954,0.556,-21.738,23,158675409.075
1661,0,5854,31,431.476,-20.7,-1.686,-11.81,3,53661873.146
1662,0,5855,10,177.674,4.934,-13.758,-24.643,34,5293030.221
1663,0,5859,36,999.084,1.12,-20.108,-15.253,15,60720486.91
1664,0,5860,40,403.876,4.219,-16.232,-21.887,33,75452286.382
1664,1,5861,40,216.856,5.165,-15.722,-24.305,43,75452286.47
1664,2,5862,40,217.686,6.082,-16.723,-25.079,53,75452286.522
1664,3,5863,40,161.006,4.775,-16.853,-24.649,43,75452286.568
1665,0,5864,10,155.759,2.966,-8.519,-24.08,11,30301382.428
1665,1,5865,10,86.059,2.043,-9.239,-26.732,31,30301382.525
1665,2,5866,10,263.385,-0.097,-10.425,-29.18,50,30301382.641
1665,3,5867,10,247.512,-0.422,-11.807,-29.532,50,30301382.689
1665,4,5868,10,19.218,-0.475,-11.735,-30.031,50,30301382.707
1666,0,5869,33,587.719,-13.557,-13.365,-16.871,15,59093920.069
1666,1,5870,33,71.524,-14.335,-19.671,-14.567,32,59093920.294
1667,0,5874,3,988.115,-3.589,10.196,-27.645,40,5202338.462
1668,0,5875,44,348.005,13.914,-2.946,-19.096,4,5012890.789
1668,1,5876,44,379.506,15.431,-2.726,-19.461,14,5012890.842
1668,2,5877,44,57.704,15.536,-3.733,-18.773,5,5012890.883
1668,3,5878,44,3.647,15.128,-4.061,-18.63,5,5012890.902
1668,4,5879,44,22.424,14.178,-4.529,-18.548,3,5012890.937
1669,0,5880,21,728.453,1.323,19.749,-14.658,0,352059790.575
1669,1,5883,21,108.179,3.124,19.377,-13.771,4,352059790.654
1669,2,5885,21,163.673,3.097,20.128,-13.664,4,352059790.688
1670,0,5886,16,738.106,19.084,4.488,-19.008,20,85817267.325
