event_num,interaction_num,crystal,edep,x,y,z,slice_sect,time
114,3,36,19.083,23.076,-252.311,-205.165,50,63047508.811
115,1,16,726.230,128.484,35.996,-195.309,04,155464362.817
115,2,5,130.155,-22.509,138.676,-195.177,03,155464363.426
115,3,5,143.614,-21.511,132.624,-194.718,03,155464363.447
116,1,12,48.764,71.997,-60.588,-246.701,20,152856344.186
116,2,12,305.430,72.330,-60.823,-249.832,20,152856344.196
116,3,12,645.806,68.589,-67.709,-258.567,31,152856344.235
117,1,37,283.361,-36.243,-206.816,-150.734,14,351858103.729
117,2,37,30.793,-35.988,-209.597,-160.012,24,351858103.762
117,3,37,301.816,-31.651,-217.927,-181.551,35,351858103.840
117,4,37,36.790,-39.496,-218.024,-187.785,35,351858103.874
117,5,37,7.340,-42.161,-217.591,-188.163,35,351858103.883
117,6,37,17.103,-47.371,-215.790,-190.023,45,351858103.902
117,7,35,322.797,-82.554,-200.789,-180.969,34,351858104.033
118,1,15,0.977,203.671,79.111,-164.997,21,351327614.645
118,2,15,547.436,208.624,80.847,-168.912,31,351327614.667
118,3,15,61.629,235.413,44.891,-182.856,45,351327614.824
118,4,15,91.255,243.974,42.459,-187.820,54,351327614.858
118,5,15,135.926,253.762,33.145,-183.452,54,351327614.905
118,6,15,6.030,254.124,34.275,-183.530,54,351327614.909
118,7,15,156.746,260.158,53.551,-174.179,53,351327614.983
119,1,41,594.229,118.516,-125.210,-176.841,00,448478185.788
119,2,40,168.319,69.891,-143.296,-220.506,24,448478186.014
119,3,40,237.452,71.427,-142.331,-222.956,24,448478186.024
120,1,43,15.729,240.570,-127.673,-146.335,43,146544916.330
120,2,43,112.593,241.629,-127.420,-150.823,53,146544916.346
121,1,32,337.983,-173.951,-79.125,-200.757,35,97647704.670
121,2,32,4.386,-174.477,-78.807,-201.179,35,97647704.672
121,3,32,343.868,-190.098,-69.715,-211.598,40,97647704.742
121,4,32,313.763,-196.080,-86.547,-224.601,55,97647704.815
122,1,15,205.360,226.377,78.040,-215.122,50,173733049.654
123,1,28,612.757,-142.403,99.203,-258.999,53,25984690.134
123,2,28,28.665,-139.353,72.448,-240.862,34,25984690.243
123,3,28,0.160,-144.116,68.451,-235.150,34,25984690.271
123,4,29,96.320,-179.944,33.940,-174.028,10,25984690.542
123,5,29,19.578,-179.800,34.370,-175.445,10,25984690.547
123,6,29,100.648,-182.989,31.023,-178.216,10,25984690.565
