event_num,interaction_num,crystal,edep,x,y,z,slice_sect,time
124,1,34,232.888,-86.872,-97.357,-205.249,04,162174235.215
124,2,7,767.112,-95.295,-92.051,-247.974,33,162174235.361
125,1,36,591.848,67.668,-183.627,-174.651,22,25895560.461
125,2,36,3.679,54.066,-189.497,-176.636,22,25895560.511
125,3,36,190.959,33.364,-196.850,-177.761,21,25895560.584
125,4,36,213.515,28.498,-174.643,-173.979,11,25895560.661
126,1,40,592.591,58.458,-178.239,-195.978,22,199837148.543
126,2,36,21.946,57.055,-180.025,-142.530,03,199837148.722
127,1,31,440.021,-237.209,-40.227,-163.935,33,90963561.618
128,1,28,781.649,-152.984,91.677,-214.490,32,133710192.008
